week	MFAssignR	MSMetaEnhancer	RIAssigner	aoptk	gc-meox-tms	matchms	ms2deepscore	rcx-tk	recetox-aplcms	recetox-msfinder	recetox-waveica	recetox-xMSannotator	spec2vec	wtv
2026-W01		5	7	1		99	12			1		2	10	
2026-W02		3	2	122	1	214	5	3	18				4	2
2026-W03	2	5	1	172	4	22	8	1	3	1	1	2	3	1
2026-W04	3	6	3	107	1	51	18	3	5	1	3	2	9	2
2026-W05	4	3	12	36	2	121	83	6	4	3	2	3	7	1
2026-W06		8	9	119	1	55	28	3	5	1			12	
2026-W07	2	7	6	56	2	83	7	3	7	1			7	1
2026-W08	1	15	13	78	3	101	20	1		2	1		10	4
2026-W09	3	15	15	14	3	122	38	51	9	4	3	9	17	1
2026-W10	1	9	2	47	3	15	13	2	7	3	1	1	2	1
