week	MFAssignR	MSMetaEnhancer	RIAssigner	aoptk	gc-meox-tms	matchms	ms2deepscore	rcx-tk	recetox-aplcms	recetox-msfinder	recetox-waveica	recetox-xMSannotator	spec2vec	wtv
2026-W01		2		2		31	9		1	2			5	
2026-W02	3	5	1	12		56	20		9	3		1	18	
2026-W03	1	1	8	12	1	12	15		2	3		1	7	18
2026-W04	1	9	4	13		89	63	1	8	6		1	20	1
2026-W05	1	6	5	8		91	37		4	2		3	18	
2026-W06	1	4	1	8		74	38		5	3	2		16	
2026-W07	3	3	3	8		94	35		9	1		1	14	
2026-W08	2	2	2	8		53	36			2		3	16	
2026-W09	2	6	2	5		101	42	2	5	5		2	28	
2026-W10		3	1	1		21	5		1	3			4	1
2026-W11		9	4	11		121	50		9	3		1	29	1
2026-W12	1	4	4	7		108	90		4	6			25	
